date,btc_low,btc_high,btc_open,btc_close,btc_volume_btc,etf_flow_usd_m,okx_oi_usd_b,okx_funding_avg_pct_8h
2026-09-15,74887.50,78242.76,78175.00,75584.17,10155.201303,-450.4,2.138851,0.004752535
2026-09-16,74911.53,76499.99,75584.17,76144.99,6945.702959,-295.9,2.207767,0.004057838
2026-09-17,75921.88,77105.42,76144.99,76348.74,5353.302781,159.5,2.416762,0.007535189
2026-09-18,76205.46,81388.47,76348.74,80875.04,12360.252309,433.0,2.529245,0.007518051
2026-09-19,80822.48,81925.00,80875.04,81233.91,3325.314400,,2.473688,0.010000000
2026-09-20,80085.00,81472.04,81233.91,81159.64,3612.274817,,2.661217,0.009285956
2026-09-21,80837.42,87397.00,81160.33,86594.94,14077.540122,999.0,2.614415,0.007094303
2026-09-22,85059.28,86734.00,86594.94,86198.05,8943.875889,714.7,2.580589,0.008480331
2026-09-23,83513.00,87282.81,86198.05,84378.31,7836.100648,346.9,2.427549,0.005075608
2026-09-24,82708.96,84929.78,84378.31,84385.46,6839.375509,190.7,2.410329,0.001040738
2026-09-25,83091.19,85250.00,84385.47,84093.13,7277.881518,134.5,2.398535,0.003407482
